Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD
02/28/2021,4.029999999999999,0.0561,1.39,-0.51,101.39,99.49,3.35,104.74
03/07/2021,4.090999999999999,0.035,0.86,2.44,102.26,101.92,7.63,113.63
03/14/2021,5.12,0.08109999999999999,1.58,-1.23,103.88,100.67,1.54,117.18
03/21/2021,6.699999999999999,0.1511,2.26,1.53,106.23,102.21,15.72,138.25
03/28/2021,2.63,0.0039,0.15,1.57,106.39,103.81,31.12,181.48
04/04/2021,0.0,0.0,0.0,1.99,106.39,105.88,1.77,184.69
04/11/2021,10.52,0.1859,1.77,1.56,108.27,107.53,9.4,205.32
04/18/2021,6.9399999999999995,0.088,1.27,0.12,109.65,107.66,-14.43,178.3
04/25/2021,13.81,0.2199,1.59,-0.03,111.39,107.63,2.14,184.95
05/02/2021,14.9998,0.025900000000000003,0.17,0.64,111.58,108.32,-6.47,173.3
05/09/2021,15.0289,0.159,1.06,-1.4,112.76,106.8,-31.05,121.33
05/16/2021,15.175699999999999,-0.6299,-4.15,-0.11,108.08,106.68,-2.08,113.77
05/23/2021,26.540000000000003,0.2115,0.8,0.65,108.94,107.37,16.72,133.7
05/30/2021,26.75,-0.32960000000000006,-1.23,0.7,107.6,108.12,-8.41,120.81
06/06/2021,29.43,-0.17629999999999998,-0.6,0.41,106.95,108.56,-14.14,103.0
06/13/2021,23.1,0.27520000000000006,1.19,-2.24,108.22,106.13,-26.87,76.55
06/20/2021,23.380000000000003,0.5257000000000001,2.25,2.35,110.65,108.62,27.93,99.65
06/27/2021,30.05,0.7196,2.39,1.53,113.29,110.28,-6.91,95.15
07/04/2021,0.0,0.0,0.0,0.6,113.29,110.94,-8.13,87.41
07/11/2021,30.54,-0.36329999999999996,-1.19,-0.94,111.94,109.9,-1.92,84.69
07/18/2021,38.18000000000001,1.0131,2.65,3.23,114.91,113.45,17.07,101.39
07/25/2021,33.33,0.4665,1.4,-0.18,116.52,113.25,8.88,111.81
08/01/2021,39.660000000000004,-1.0912,-2.75,0.49,113.32,113.8,5.82,115.24
08/08/2021,38.57,0.09989999999999993,0.26,0.78,113.61,114.69,-3.37,111.66
08/15/2021,32.64,-0.9184,-2.81,-0.26,110.42,114.39,11.01,120.82
08/22/2021,37.739999999999995,-0.46640000000000004,-1.24,1.14,109.05,115.69,4.63,124.92
08/29/2021,37.17,0.9803000000000001,2.64,-3.66,111.93,111.46,-11.79,113.49
