Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
12/19/2021,72.3,1.1413,1.58,-1.36,109.22,142.49,-4.86,73.73,101.58,98.64
12/26/2021,77.78,-1.7094,-2.2,-8.91,106.82,129.79,-24.05,54.38,99.35,89.85
01/02/2022,51.27,-2.248,-4.38,-5.07,102.14,123.21,39.27,73.35,95.0,85.29
01/09/2022,76.63,0.43089999999999995,0.56,-4.38,102.71,117.81,-0.21,73.61,95.53,81.55
01/16/2022,77.23,1.7207,2.23,-2.63,105.0,114.71,0.57,75.67,97.66,79.41
01/23/2022,83.0,-1.1438,-1.38,-2.53,103.55,111.81,4.57,78.08,96.31,77.4
01/30/2022,81.39,-1.1639000000000002,-1.43,-5.6,102.07,105.55,-3.06,74.57,94.93,73.07
02/06/2022,69.54,3.96,5.69,-8.56,107.88,96.51,-2.56,76.9,100.33,66.82
02/13/2022,79.47,-2.2281999999999997,-2.8,-4.0,104.86,92.65,6.26,79.56,97.52,64.15
02/20/2022,46.9,1.45,3.09,3.91,108.1,96.27,5.66,86.52,100.53,66.66
02/27/2022,59.879999999999995,0.5881000000000001,0.98,6.75,109.16,102.77,-8.08,80.38,101.52,71.16
03/06/2022,79.78,1.3134000000000003,1.65,6.09,110.96,109.03,-8.3,75.03,103.2,75.49
03/13/2022,84.67,0.7987000000000001,0.94,1.95,112.0,111.16,-4.36,72.46,104.17,76.96
03/20/2022,82.45,-0.07170000000000001,-0.09,-0.42,111.9,110.69,-0.67,71.91,104.08,76.64
03/27/2022,83.9,1.8763999999999998,2.24,-9.61,114.41,100.05,-10.72,65.81,106.41,69.27
04/03/2022,84.49,-1.0598,-1.25,-6.83,112.98,93.22,-49.31,32.54,105.08,64.54
04/10/2022,85.80000000000001,1.4664000000000001,1.71,-8.89,114.91,84.93,17.05,38.64,106.88,58.8
04/17/2022,86.41000000000001,-1.3110999999999997,-1.52,-8.64,113.16,77.59,-6.42,35.57,105.26,53.72
04/24/2022,85.27,-0.000699999999999909,-0.0,-5.6,113.16,73.24,-2.87,34.55,105.26,50.71
05/01/2022,88.11999999999999,-2.6967999999999996,-3.06,-1.0,109.7,72.51,-2.71,32.56,102.04,50.2
05/08/2022,87.05,-1.1908,-1.37,4.44,108.2,75.73,-31.5,21.86,100.64,52.43
05/15/2022,88.44279999999999,-1.4590000000000003,-1.65,-7.34,106.41,70.17,6.78,22.98,98.98,48.58
