Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
09/11/2022,55.040000000000006,1.3199999999999998,2.4,-9.31,112.97,51.78,-0.62,40.81,102.4,90.69
09/18/2022,83.60000000000001,-0.595,-0.71,-3.88,112.17,49.77,5.02,42.57,101.67,87.17
09/25/2022,90.55,1.1,1.21,5.64,113.53,52.58,0.2,43.17,102.9,92.09
10/02/2022,91.31000000000002,-1.381,-1.51,2.98,111.82,54.15,-21.14,33.39,101.35,94.83
10/09/2022,85.61999999999999,1.0027,1.17,6.65,113.13,57.75,-7.48,31.28,102.54,101.14
10/16/2022,61.830000000000005,0.72,1.16,7.99,114.44,62.36,3.63,32.78,103.73,109.22
10/23/2022,92.72999999999999,-1.12,-1.21,4.79,113.06,65.35,26.12,40.95,102.47,114.45
10/30/2022,99.00999999999999,-1.2200000000000002,-1.23,2.95,111.67,67.28,-6.39,37.83,101.21,117.83
11/06/2022,80.92000000000002,2.34,2.89,3.66,114.9,69.74,-2.0,38.17,104.13,122.14
11/13/2022,94.32000000000001,0.5100000000000001,0.54,1.31,115.52,70.65,-8.18,35.25,104.69,123.74
11/20/2022,93.54,0.81,0.87,-4.76,116.53,67.29,16.75,41.46,105.6,117.85
11/27/2022,97.27000000000001,1.7200000000000002,1.77,-3.56,118.59,64.89,7.56,45.33,107.47,113.65
12/04/2022,101.47,2.05,2.02,-3.08,120.99,62.89,67.41,76.8,109.64,110.15
12/11/2022,69.15,-0.69,-1.0,-2.75,119.78,61.16,-56.51,32.63,108.54,107.12
