Date,E0,E1,Deposit,Withdraw,Weekly_Change,Weekly_PctChg,BM_Pctchg,Cumulative_Fund_Return,Cumulative_Benchmark_Return,Cumul_Retail_Return_Plot,Cumul_Benchmark_Return_Plot
04/24/22,,52110.0,,,-4892.0,-9.39,-2.75,98.83,114.32,90.61,97.25
05/01/22,,47218.0,,,-1456.0,-3.08,-0.18,95.79,114.11,87.82,97.07
05/08/22,,45762.0,,,-5740.0,-12.54,-0.83,83.78,113.16,76.81,96.26
05/15/22,,40022.0,,,-3458.0,-8.64,-2.59,76.54,110.23,70.17,93.77
05/22/22,,36564.0,,,2734.0,7.48,5.71,82.27,116.52,75.42,99.12
05/29/22,,39298.0,,,-1337.0,-3.4,-0.58,79.47,115.84,72.86,98.55
06/05/22,,37961.0,,,-1076.0,-2.83,-6.02,77.22,108.87,70.8,92.62
06/12/22,,36885.0,,,-6169.0,-16.72,-3.68,64.31,104.86,58.96,89.21
06/19/22,,30716.0,,,4146.0,13.5,4.0,72.99,109.05,66.92,92.78
06/26/22,,34862.0,,,-2829.0,-8.11,-2.51,67.07,106.31,61.49,90.45
07/03/22,,32033.0,,,3457.0,10.79,1.76,74.31,108.18,68.12,92.04
07/10/22,,35490.0,,,-1110.0,-3.13,-0.19,71.98,107.97,65.99,91.87
