Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
01/09/2022,76.63,0.43089999999999995,0.56,-4.38,102.63,117.81,-0.21,73.21,100.56,95.62
01/16/2022,77.23,1.7207,2.23,-2.63,104.92,114.71,0.57,75.26,102.8,93.11
01/23/2022,83.0,-1.1438,-1.38,-2.53,103.47,111.81,4.57,77.66,101.38,90.75
01/30/2022,81.39,-1.1639000000000002,-1.43,-5.6,101.99,105.55,-3.06,74.17,99.93,85.67
02/06/2022,69.54,3.96,5.69,-8.56,107.79,96.51,-2.56,76.49,105.62,78.34
02/13/2022,79.47,-2.2281999999999997,-2.8,-4.0,104.77,92.65,6.26,79.14,102.66,75.21
02/20/2022,46.9,1.45,3.09,3.91,108.01,96.27,5.66,86.06,105.83,78.15
02/27/2022,59.879999999999995,0.5881000000000001,0.98,6.75,109.07,102.77,-8.08,79.95,106.87,83.43
03/06/2022,79.78,1.3134000000000003,1.65,6.09,110.87,109.03,-8.3,74.63,108.63,88.51
03/13/2022,84.67,0.7987000000000001,0.94,1.95,111.91,111.16,-4.36,72.08,109.65,90.24
03/20/2022,82.45,-0.07170000000000001,-0.09,-0.42,111.81,110.69,-0.67,71.53,109.55,89.86
03/27/2022,83.9,1.8763999999999998,2.24,-9.61,114.31,100.05,-10.72,65.46,112.0,81.22
04/03/2022,84.49,-1.0598,-1.25,-6.83,112.88,93.22,-49.31,32.36,110.6,75.67
04/10/2022,85.80000000000001,1.4664000000000001,1.71,-8.89,114.81,84.93,17.05,38.43,112.49,68.94
04/17/2022,86.41000000000001,-1.3110999999999997,-1.52,-8.64,113.06,77.59,-6.42,35.38,110.78,62.98
04/24/2022,85.27,-0.000699999999999909,-0.0,-5.6,113.06,73.24,-2.87,34.36,110.78,59.45
05/01/2022,88.11999999999999,-2.6967999999999996,-3.06,-1.0,109.6,72.51,-2.71,32.38,107.39,58.86
05/08/2022,87.05,-1.1908,-1.37,4.44,108.1,75.73,-31.5,21.74,105.92,61.47
05/15/2022,88.44279999999999,-1.4590000000000003,-1.65,-7.34,106.32,70.17,6.78,22.86,104.17,56.96
05/22/2022,87.1013,0.006599999999999978,0.01,-4.39,106.33,67.09,213.28,71.62,104.18,54.46
05/29/2022,85.04,0.6519,0.77,-8.31,107.15,61.51,-38.52,44.58,104.98,49.93
06/05/2022,48.19,0.7875000000000001,1.63,-7.72,108.9,56.76,-13.49,39.29,106.69,46.08
06/12/2022,81.08,0.6325999999999999,0.78,0.92,109.75,57.28,31.05,51.8,107.52,46.5
06/19/2022,80.6626,-0.05449999999999997,-0.07,5.84,109.67,60.63,-8.04,47.6,107.44,49.22
06/26/2022,81.88,-1.4809,-1.81,2.53,107.68,62.16,20.76,56.62,105.5,50.47
07/03/2022,81.28000000000002,-0.26490000000000014,-0.33,6.79,107.32,66.38,1.48,57.27,105.15,53.9
07/10/2022,82.22,1.076,1.31,9.66,108.73,72.79,-6.52,54.29,106.53,59.11
07/17/2022,85.51,-1.372,-1.6,9.49,106.99,79.7,-7.48,49.36,104.83,64.72
07/24/2022,85.9,0.38999999999999996,0.45,4.56,107.47,83.33,-8.79,45.24,105.3,67.67
07/31/2022,85.09,-0.3506000000000001,-0.41,-2.95,107.03,80.87,3.81,46.78,104.87,65.67
08/07/2022,89.85,-0.8500000000000002,-0.95,-6.69,106.01,75.46,-5.16,43.92,103.87,61.28
08/14/2022,90.89,0.77,0.85,-7.7,106.91,69.65,-7.49,41.0,104.75,56.56
08/21/2022,89.53,0.99,1.11,-6.8,108.1,64.91,-3.0,40.23,105.91,52.71
08/28/2022,89.91,0.77,0.86,-9.14,109.03,58.98,9.7,44.48,106.82,47.89
09/04/2022,61.71999999999999,0.6813,1.1,-3.19,110.23,57.1,-11.42,39.89,108.0,46.36
09/11/2022,55.040000000000006,1.3199999999999998,2.4,-9.31,112.88,51.78,-0.62,40.6,110.59,42.04
09/18/2022,83.60000000000001,-0.595,-0.71,-3.88,112.08,49.77,5.02,42.35,109.8,40.41
09/25/2022,90.55,1.1,1.21,5.64,113.44,52.58,0.2,42.95,111.13,42.69
10/02/2022,91.31000000000002,-1.381,-1.51,2.98,111.73,54.15,-21.14,33.22,109.45,43.96
10/09/2022,85.61999999999999,1.0027,1.17,6.65,113.04,57.75,-7.48,31.12,110.73,46.88
10/16/2022,61.830000000000005,0.72,1.16,7.99,114.35,62.36,3.63,32.61,112.01,50.63
10/23/2022,92.72999999999999,-1.12,-1.21,4.79,112.97,65.35,26.12,40.73,110.65,53.06
10/30/2022,99.00999999999999,-1.2200000000000002,-1.23,2.95,111.58,67.28,-6.39,37.63,109.29,54.63
11/06/2022,80.92000000000002,2.34,2.89,3.66,114.8,69.74,-2.0,37.96,112.45,56.63
11/13/2022,94.32000000000001,0.5100000000000001,0.54,1.31,115.42,70.65,-8.18,35.06,113.06,57.37
11/20/2022,93.54,0.81,0.87,-4.76,116.42,67.29,16.75,41.24,114.04,54.64
11/27/2022,97.27000000000001,1.7200000000000002,1.77,-3.56,118.48,64.89,7.56,45.09,116.06,52.69
12/04/2022,101.47,2.05,2.02,-3.08,120.87,62.89,-100.0,0.91,118.4,51.07
12/11/2022,69.15,-0.69,-1.0,-2.75,119.66,61.16,,,117.22,49.67
12/18/2022,97.47999999999999,0.16999999999999993,0.17,3.79,119.86,63.48,,,117.42,51.55
12/25/2022,124.71,1.1179999999999999,0.9,4.95,120.94,66.62,,,118.48,54.1
01/01/2023,71.7,0.08000000000000002,0.11,6.08,121.07,70.67,,,118.61,57.39
01/08/2023,69.0,-1.7400000000000002,-2.52,5.85,118.02,74.8,,,115.62,60.75
01/15/2023,127.78,-3.16,-2.47,3.42,115.1,77.36,,,112.76,62.83
01/22/2023,129.93,-2.287,-1.76,0.79,113.07,77.97,,,110.78,63.33
01/29/2023,132.06,-2.4,-1.82,-2.21,111.01,76.25,,,108.76,61.93
02/05/2023,134.63,-0.1529999999999999,-0.11,-3.6,110.89,73.5,inf,,108.64,59.7
