Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
12/19/2021,72.3,1.1413,1.58,-0.6,109.22,141.43,-4.86,73.73,101.58,99.4
12/26/2021,77.78,-1.7094,-2.2,-8.19,106.82,129.85,-24.05,54.38,99.35,91.26
01/02/2022,51.27,-2.248,-4.38,-3.98,102.14,124.68,39.27,73.35,95.0,87.63
01/09/2022,76.63,0.43089999999999995,0.56,-1.12,102.71,123.28,-0.21,73.61,95.53,86.65
01/16/2022,77.23,1.7207,2.23,-2.17,105.0,120.6,0.57,75.67,97.66,84.77
01/23/2022,83.0,-1.1438,-1.38,-2.33,103.55,117.79,4.57,78.08,96.31,82.79
01/30/2022,81.39,-1.1639000000000002,-1.43,-0.76,102.07,116.89,-3.06,74.57,94.93,82.16
02/06/2022,69.54,3.96,5.69,-4.92,107.88,111.14,-2.56,76.9,100.33,78.12
02/13/2022,79.47,-2.2281999999999997,-2.8,-0.98,104.86,110.05,6.26,79.56,97.52,77.35
02/20/2022,46.9,1.45,3.09,3.31,108.1,113.69,5.66,86.52,100.53,79.91
02/27/2022,59.879999999999995,0.5881000000000001,0.98,6.17,109.16,120.7,-8.08,80.38,101.52,84.84
03/06/2022,79.78,1.3134000000000003,1.65,3.47,110.96,124.89,-8.3,75.03,103.2,87.78
03/13/2022,84.67,0.7987000000000001,0.94,5.33,112.0,131.55,-4.25,72.55,104.17,92.46
