Date,E0,E1,Deposit,Withdraw,Weekly_Change,Weekly_PctChg,BM_Pctchg,Cumulative_Fund_Return,Cumulative_Benchmark_Return,Cumul_Retail_Return_Plot,Cumul_Benchmark_Return_Plot
07/25/21,,42923.0,,,2492.0,5.81,-0.18,95.08,113.25,105.81,99.82
08/01/21,,45415.0,,,2516.0,5.54,0.49,100.35,113.8,111.67,100.31
08/08/21,,47931.0,,,1648.0,3.44,0.78,103.8,114.69,115.51,101.09
08/15/21,,49579.0,,,550.0,1.11,-0.26,104.95,114.39,116.79,100.83
08/22/21,,50129.0,,,12.0,0.02,1.14,104.97,115.69,116.81,101.98
08/29/21,,50141.0,,,2459.0,4.9,0.47,110.11,116.23,122.53,102.46
09/05/21,,52600.0,,,-850.0,-1.62,-1.33,108.33,114.68,120.55,101.1
09/12/21,,51750.0,,,-515.0,-1.0,-1.61,107.25,112.83,119.34,99.47
09/19/21,,51235.0,,,-1085.0,-2.12,2.08,104.98,115.18,116.81,101.54
09/26/21,,50150.0,,,2850.0,5.68,-1.94,110.94,112.95,123.44,99.57
10/03/21,,53000.0,,,2907.0,5.48,1.12,117.02,114.22,130.2,100.69
10/10/21,,55907.0,,,4493.0,8.04,1.99,126.43,116.49,140.67,102.69
10/17/21,,60400.0,,,1950.0,3.23,2.06,130.51,118.89,145.21,104.81
