Date,E0,E1,Deposit,Withdraw,Weekly_Change,Weekly_PctChg,BM_Pctchg,Cumulative_Fund_Return,Cumulative_Benchmark_Return
02/28/21,47890.0,47760.0,,,7055.0,14.77,-0.51,114.77,99.49
03/07/21,52167.0,54815.0,,,658.0,1.2,2.44,116.15,101.92
03/14/21,,55473.0,,,-2314.0,-4.17,-1.23,111.31,100.67
03/21/21,,53159.0,,,-2264.0,-4.26,1.53,106.57,102.21
03/28/21,50895.0,50895.0,,,2528.0,4.97,1.57,111.87,103.81
04/04/21,53088.0,53423.0,,,1239.0,2.32,1.99,114.47,105.88
04/11/21,54511.0,54662.0,,,350.0,0.64,1.56,115.2,107.53
04/18/21,57124.0,55012.0,,,-1622.0,-2.95,0.12,111.8,107.66
04/25/21,51965.0,53390.0,,,722.0,1.35,-0.03,113.31,107.63
05/02/21,54697.0,54112.0,,,-491.0,-0.91,0.64,112.28,108.32
05/09/21,53979.0,53621.0,,,-7671.0,-14.31,-1.4,96.21,106.8
05/16/21,46069.0,45950.0,,,-4808.0,-10.46,-0.11,86.15,106.68
05/23/21,40240.0,41142.0,,,-241.0,-0.59,0.65,85.64,107.37
05/30/21,40751.0,40901.0,,,-623.0,-1.52,0.7,84.34,108.12
06/06/21,40478.0,40278.0,,,1900.0,4.72,0.41,88.32,108.56
06/13/21,41678.0,42178.0,,,-1019.0,-2.42,-2.24,86.18,106.13
06/20/21,,41159.0,,,1124.0,2.73,2.35,88.53,108.62
06/27/21,,42283.0,,,651.0,1.54,1.53,89.89,110.28
07/04/21,,42934.0,,,-1437.0,-3.35,0.6,86.88,110.94
07/11/21,,41497.0,,,-1914.0,-4.61,-0.94,82.87,109.9
07/18/21,,39583.0,,,3340.0,8.44,3.23,89.86,113.45
07/25/21,,42923.0,,,2492.0,5.81,-0.18,95.08,113.25
