,Tickers,Days_to_Expiry,MACD_Gradients,Grad_Pct_Change,Buys,Sells
0,AMZN,1,-0.05492643504,25.68115697,0,0
1,AMZN,8,-0.05492643504,25.68115697,0,0
2,AMZN,15,-0.05492643504,25.68115697,0,0
3,AMZN,22,-0.05492643504,25.68115697,0,0
4,MSFT,1,0.2024283312,-17.44801766,0,0
5,MSFT,8,0.2024283312,-17.44801766,0,0
6,MSFT,15,0.2024283312,-17.44801766,0,0
7,MSFT,22,0.2024283312,-17.44801766,0,0
8,AAPL,1,-0.3694535498,142.8604665,0,0
9,AAPL,8,-0.3694535498,142.8604665,0,0
10,AAPL,15,-0.3694535498,142.8604665,0,0
11,AAPL,22,-0.3694535498,142.8604665,0,0
12,TSLA,1,-5.536331959,88.60874104,0,0
13,TSLA,8,-5.536331959,88.60874104,0,0
14,TSLA,15,-5.536331959,88.60874104,0,0
15,TSLA,22,-5.536331959,88.60874104,0,0
16,NFLX,1,0.01445092413,4.993195128,0,0
17,NFLX,8,0.01445092413,4.993195128,0,0
18,NFLX,15,0.01445092413,4.993195128,0,0
19,NFLX,22,0.01445092413,4.993195128,0,0
20,FB,1,-0.4860086946,111.2113749,0,0
21,FB,8,-0.4860086946,111.2113749,0,0
22,FB,15,-0.4860086946,111.2113749,0,0
23,FB,22,-0.4860086946,111.2113749,0,0
24,V,1,-0.06088918994,-1336.349664,0,0
25,V,8,-0.06088918994,-1336.349664,0,0
26,V,15,-0.06088918994,-1336.349664,0,0
27,V,22,-0.06088918994,-1336.349664,0,0
28,NVDA,1,0.1884348135,25.66307013,0,0
29,NVDA,8,0.1884348135,25.66307013,0,0
30,NVDA,15,0.1884348135,25.66307013,0,0
31,NVDA,22,0.1884348135,25.66307013,0,0
32,GOOG,1,-0.04036713143,-1019.24492,0,0
33,GOOG,8,-0.04036713143,-1019.24492,0,0
34,GOOG,15,-0.04036713143,-1019.24492,0,0
35,GOOG,22,-0.04036713143,-1019.24492,0,0
36,ZM,1,-0.0625111338,10.47876526,0,0
37,ZM,8,-0.0625111338,10.47876526,0,0
38,ZM,15,-0.0625111338,10.47876526,0,0
39,ZM,22,-0.0625111338,10.47876526,0,0
40,BA,1,-0.1392518047,-216.469382,0,0
41,BA,8,-0.1392518047,-216.469382,0,0
42,BA,15,-0.1392518047,-216.469382,0,0
43,BA,22,-0.1392518047,-216.469382,0,0
44,INTC,1,-0.479959509,-839.6961473,0,0
45,INTC,8,-0.479959509,-839.6961473,0,0
46,INTC,15,-0.479959509,-839.6961473,0,0
47,INTC,22,-0.479959509,-839.6961473,0,0
48,AMD,1,0.02991870173,-33.90352871,0,0
49,AMD,8,0.02991870173,-33.90352871,0,0
50,AMD,15,0.02991870173,-33.90352871,0,0
51,AMD,22,0.02991870173,-33.90352871,0,0
52,F,1,-0.1204498183,19.28426544,0,0
53,F,8,-0.1204498183,19.28426544,0,0
54,F,15,-0.1204498183,19.28426544,0,0
55,F,22,-0.1204498183,19.28426544,0,0
56,GE,1,-0.1752119266,30.04993774,0,0
57,GE,8,-0.1752119266,30.04993774,0,0
58,GE,15,-0.1752119266,30.04993774,0,0
59,GE,22,-0.1752119266,30.04993774,0,0
60,AAL,1,0.03018217053,-63.53592083,0,0
61,AAL,8,0.03018217053,-63.53592083,0,0
62,AAL,15,0.03018217053,-63.53592083,0,0
63,AAL,22,0.03018217053,-63.53592083,0,0
64,DIS,1,0.03061136464,-47.12055395,0,0
65,DIS,8,0.03061136464,-47.12055395,0,0
66,DIS,15,0.03061136464,-47.12055395,0,0
67,DIS,22,0.03061136464,-47.12055395,0,0
68,DAL,1,0.03192765309,-48.22887772,0,0
69,DAL,8,0.03192765309,-48.22887772,0,0
70,DAL,15,0.03192765309,-48.22887772,0,0
71,DAL,22,0.03192765309,-48.22887772,0,0
72,CCL,1,0.4945857503,-33.00577662,0,0
73,CCL,8,0.4945857503,-33.00577662,0,0
74,CCL,15,0.4945857503,-33.00577662,0,0
75,CCL,22,0.4945857503,-33.00577662,0,0
76,SNAP,1,-0.05067664149,-1092.436356,0,0
77,SNAP,8,-0.05067664149,-1092.436356,0,0
78,SNAP,15,-0.05067664149,-1092.436356,0,0
79,SNAP,22,-0.05067664149,-1092.436356,0,0
80,UAL,1,1.254904687,-34.06906502,0,0
81,UAL,8,1.254904687,-34.06906502,0,0
82,UAL,15,1.254904687,-34.06906502,0,0
83,UAL,22,1.254904687,-34.06906502,0,0
84,BABA,1,0.08603678257,-35.00758031,0,0
85,BABA,8,0.08603678257,-35.00758031,0,0
86,BABA,15,0.08603678257,-35.00758031,0,0
87,BABA,22,0.08603678257,-35.00758031,0,0
88,UBER,1,0.04437322886,-30.65788225,0,0
89,UBER,8,0.04437322886,-30.65788225,0,0
90,UBER,15,0.04437322886,-30.65788225,0,0
91,UBER,22,0.04437322886,-30.65788225,0,0
92,TWTR,1,0.04039869936,-59.69590223,0,0
93,TWTR,8,0.04039869936,-59.69590223,0,0
94,TWTR,15,0.04039869936,-59.69590223,0,0
95,TWTR,22,0.04039869936,-59.69590223,0,0
96,SBUX,1,-0.02292038446,-52.25892113,0,0
97,SBUX,8,-0.02292038446,-52.25892113,0,0
98,SBUX,15,-0.02292038446,-52.25892113,0,0
99,SBUX,22,-0.02292038446,-52.25892113,0,0
100,BYND,1,-0.09221054797,230.4115643,0,0
