Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD
02/28/2021,4.029999999999999,0.0561,1.39,-0.51,101.39,99.49,3.35,104.74
03/07/2021,4.090999999999999,0.035,0.86,2.44,102.26,101.92,7.63,113.63
03/14/2021,5.12,0.08109999999999999,1.58,-1.23,103.88,100.67,1.54,117.18
03/21/2021,6.699999999999999,0.1511,2.26,1.53,106.23,102.21,15.72,138.25
03/28/2021,2.63,0.0039,0.15,1.57,106.39,103.81,31.12,181.48
04/04/2021,0.0,0.0,0.0,1.99,106.39,105.88,1.77,184.69
04/11/2021,10.52,0.1859,1.77,1.56,108.27,107.53,9.4,205.32
04/18/2021,6.9399999999999995,0.088,1.27,0.12,109.65,107.66,-14.43,178.3
04/25/2021,13.81,0.2199,1.59,-0.03,111.39,107.63,2.14,184.95
05/02/2021,14.9998,0.025900000000000003,0.17,0.64,111.58,108.32,-6.47,173.3
05/09/2021,15.0289,0.159,1.06,-1.4,112.76,106.8,-31.05,121.33
